id,Title,Year,Runtime,Rating,Studio,Genre,Director,Cast
1,No Time To Die,2021,163 mins,PG-13,Metro Goldwyn Mayer,Drama/Thriller/Action,Cary Joji Fukunaga,"Daniel Craig, Rami Malek, Lashana Lynch, Lea Seydoux"
2,Free Guy,2021,115 mins,PG-13,20th Century Fox,Comedy/Science Fiction/Adventure,Shawn Levy,"Ryan Reynolds, Jodie Comer, Joe Keery,Taika Waititi"
3,The Bad Guys,2022,100 mins,PG,Dreamworks,Animation/Family/Crime/Comedy/Action/Adventure,Pierre Perifel,"Sam Rockwell, Richard Ayoade, Anthony Ramos, Zazie Beetz"
4,Top Gun,1986,110 mins,PG,Paramount,Drama/Action/Romance,Tony Scott,"Tom Cruise, Val Kilmer, Kelly McGillis, Anthony Edwards"
5,Top Gun: Maverick,2022,131 mins,PG-13,"Paramount, Skydance",Drama/Action,Joseph Kosinski,"Tom Cruise, Miles Teller, Val Kilmer, Glen Powell"
6,Where The Crawdads Sing,2022,126 mins,PG-13,"3000 Pictures, Hello Sunshine Productions",Romance/Drama/Mystery,Olivia Newman,"Daisy Edgar Jones, Taylor John Smith, Harris Dickinson, David Strathairn"
7,Jaws,1975,124 mins,PG,Universal Pictures,Thriller/Horror/Adventure,Steven Spielberg,"Roy Schneider, Richard Dreyfuss, Robert Shaw, Lorraine Gary"
8,Barbarian,2022,103 mins,R,"20th Century Fox, Hammerstone Studios",Thriller/Horror/Mystery,Zach Creggor,"Bill Skarsgard, Justin Long, Georgina Campbell, Zach Creggor"
9,Pearl,2022,102 mins,R,A24,Drama/Horror/Thriller,Ti West,"Mia Goth, David Corensweet, Alistair Sewell, Matthew Sunderland"
10,Spider-Man: No Way Home,2021,148 mins,PG-13,Marvel Studios,Action/Adventure/Science Fiction,Jon Watts,"Tom Holland, Tobey Maguire, Andrew Garfield, Marisa Tomei"
11,Glass Onion: A Knives Out Mystery,2022,140 mins,PG-13,T-Street Productions,Crime/Comedy/Mystery,Rian Johnson,"Madelyn Cline, Daniel Craig, Kate Hudson, Edward Norton"
12,Bullet Train,2022,126 mins,R,Columbia Pictures,Comedy/Action/Thriller,David Leitch,"Aaron-Taylor Johnson, Brad Pitt, Joey King, Bad Bunny"
13,The King's Man,2021,131 mins,R,20th Century Fox,Adventure/Action/Thriller,Matthew Vaughn,"Stanley Tucci, Gemma Arterton, Ralph Fiennes, Harris Dickinson"
14,Dune,2021,155 mins,PG-13,Legendary Pictures,Science Fiction/Adventure,Denis Villeneuve,"Timothee Chalamet, Rebecca Ferguson, Zendaya Coleman, Oscar Isaac"
15,Death On The Nile,2022,127 mins,PG-13,20th Century Fox,Thriller/Crime/Mystery,Kenneth Branagh,"Kenneth Branagh, Armie Hammer, Gal Gadot, Annette Bening"
16,Uncharted,2022,116 mins,PG-13,"Columbia Pictures, Playstation Productions",Adventure/Action,Ruben Fleischer,"Tom Holland, Sophia Ali, Mark Wahlberg, Tati Gabrielle"
17,The Batman,2022,177 mins,PG-13,"Warner Bros Pictures, DC Films",Mystery/Thriller/Crime,Matt Reeves,"Robert Pattinson, Zoe Kravitz, Paul Dano, Colin Farrell"
18,Avatar: The Way of Water,2022,192 mins,PG-13,"20th Century Fox, Lightstorm Entertainment",Science Fiction/Action/Adventure,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Kate Winslet"
19,Puss In Boots: The Last Wish,2022,103 mins,PG,"Dreamworks, Universal Pictures",Action/Adventure/Family/Comedy/Animation/Fantasy,Joel Crawford,"Antonio Banderas, Salma Hayek, Florence Pugh, Harvey Guillen"
20,Sonic The Hedgehog 2,2022,123 mins,PG,"Paramount, Sega",Comedy/Adventure/Action/Family,Jeff Fowler,"Jim Carrey, Ben Schwartz, Tika Sumpter, James Marsden"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
